id,language,buggy_code,fixed_code,description,label,time_to_fix,complexity_score,lines_of_code,bug_type,severity_level,date_reported,date_fixed,fix_status,developer_id
1,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,111,8.48,17,Compilation,Low,2023-03-02,2024-12-09,Verified,1027
2,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,142,1.59,34,Syntax,Low,2022-02-11,2021-09-05,In-Progress,2158
3,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,240,9.29,46,Syntax,Critical,2023-03-06,2023-02-25,Verified,3341
4,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,76,8.93,32,Runtime,Medium,2024-08-14,2020-10-03,Fixed,1020
5,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,189,9.79,34,Syntax,Low,2021-04-02,2020-03-30,In-Progress,4676
6,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,234,9.79,22,Runtime,High,2024-04-10,2020-03-27,Pending,1799
7,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,219,9.1,17,Syntax,Critical,2024-03-10,2021-03-07,Verified,3154
8,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,190,3.07,18,Performance,Low,2020-03-28,2024-06-06,In-Progress,4052
9,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,189,3.42,15,Security,Critical,2020-04-02,2024-07-31,Verified,3227
10,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,255,2.16,8,Compilation,Low,2023-03-24,2020-10-21,Pending,3401
11,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,232,4.55,20,Runtime,Critical,2021-04-28,2022-10-03,Pending,2881
12,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,46,2.39,15,Runtime,Low,2021-08-03,2023-03-25,In-Progress,3324
13,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,178,3.18,38,Performance,Critical,2024-08-22,2022-06-06,Verified,2209
14,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,89,8.06,44,Performance,High,2021-02-16,2020-11-21,Pending,2793
15,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,113,8.37,47,Security,Medium,2021-04-29,2022-05-22,Verified,3336
16,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,187,7.28,39,Runtime,High,2024-11-13,2022-11-10,Pending,2469
17,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,66,8.43,9,Compilation,High,2020-11-01,2024-01-23,In-Progress,4226
18,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,26,3.7,43,Runtime,Low,2024-04-19,2021-08-23,Pending,1450
19,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,292,7.63,40,Syntax,Medium,2024-11-13,2020-06-16,Pending,4084
20,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,74,1.27,47,Logic,Low,2023-09-04,2024-04-22,Pending,4365
21,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,65,5.58,10,Logic,Medium,2023-06-02,2021-07-25,Pending,3446
22,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,221,1.86,39,Syntax,High,2023-08-29,2023-11-13,In-Progress,2378
